m,l0,phi,eps,is_sat
0.24120602,0.020301506,1.015186,0.13738878,False
0.2437186,0.020301506,1.0169803,0.1392676,False
0.24623115,0.020301506,1.0187501,0.14115036,False
0.24874371,0.020301506,1.0204962,0.14303717,False
0.2512563,0.020301506,1.0222191,0.14492796,False
0.25376883,0.020301506,1.023919,0.14682275,False
0.2562814,0.020301506,1.0255965,0.1487212,False
0.25879398,0.020301506,1.0272522,0.15062371,False
0.26130652,0.020301506,1.0288863,0.15252994,False
0.2638191,0.020301506,1.0304995,0.15444122,False
0.26633164,0.020301506,1.0320919,0.15635361,False
0.26884422,0.020301506,1.0336641,0.15827109,False
0.2713568,0.020301506,1.0352166,0.16019233,False
0.27386934,0.020301506,1.0367496,0.16211712,False
0.2763819,0.020301506,1.0382636,0.16404538,False
0.27889448,0.020301506,1.0397588,0.16597742,False
0.28140703,0.020301506,1.0412357,0.16791283,False
0.2839196,0.020301506,1.0426946,0.16985196,False
0.28643215,0.020301506,1.0441357,0.17179434,False
0.28894472,0.020301506,1.0455596,0.17374034,False
0.2914573,0.020301506,1.0469663,0.17568974,False
0.29396984,0.020301506,1.0483565,0.17764257,False
0.2964824,0.020301506,1.0497301,0.1795988,False
0.29899496,0.020301506,1.0510876,0.18155824,False
0.30150753,0.020301506,1.0524293,0.18352117,False
0.3040201,0.020301506,1.0537554,0.18548708,False
0.30653265,0.020301506,1.0550662,0.18745689,False
0.30904523,0.020301506,1.056362,0.1894295,False
0.3115578,0.020301506,1.0576429,0.1914055,False
0.31407034,0.020301506,1.0589094,0.19338477,False
0.31658292,0.020301506,1.0601616,0.19536881,False
0.31909546,0.020301506,1.0613997,0.1973538,False
0.32160804,0.020301506,1.0626239,0.19934136,False
0.3241206,0.020301506,1.0638345,0.20133352,False
0.32663316,0.020301506,1.0650318,0.20332848,False
0.32914573,0.020301506,1.0662159,0.20532627,False
0.33165827,0.020301506,1.067387,0.20732775,False
0.33417085,0.020301506,1.0685455,0.2093319,False
0.33668342,0.020301506,1.0696914,0.21133938,False
0.33919597,0.020301506,1.0708249,0.21334982,False
0.34170854,0.020301506,1.0719461,0.21536298,False
0.34422112,0.020301506,1.0730555,0.21737945,False
0.34673366,0.020301506,1.0741532,0.21939889,False
0.34924623,0.020301506,1.0752391,0.22142106,False
0.35175878,0.020301506,1.0763136,0.22344625,False
0.35427135,0.020301506,1.0773768,0.22547455,False
0.35678393,0.020301506,1.078429,0.22750589,False
0.35929647,0.020301506,1.0794702,0.22953977,False
0.36180905,0.020301506,1.0805007,0.23157674,False
0.3643216,0.020301506,1.0815204,0.23361665,False
0.36683416,0.020301506,1.0825298,0.2356594,False
0.36934674,0.020301506,1.0835288,0.23770514,False
0.37185928,0.020301506,1.0845176,0.23975332,False
0.37437186,0.020301506,1.0854964,0.2418047,False
0.37688443,0.020301506,1.0864652,0.243859,False
0.37939698,0.020301506,1.0874244,0.24591595,False
0.38190955,0.020301506,1.0883739,0.24797556,False
0.3844221,0.020301506,1.0893139,0.25003806,False
0.38693467,0.020301506,1.0902445,0.25210357,False
0.38944724,0.020301506,1.0911659,0.25417158,False
0.3919598,0.020301506,1.0920782,0.25624216,False
0.39447236,0.020301506,1.0929815,0.25831592,False
0.39698493,0.020301506,1.0938759,0.26039228,False
0.39949748,0.020301506,1.0947615,0.26247153,False
0.40201005,0.020301506,1.0956385,0.26455328,False
0.4045226,0.020301506,1.096507,0.26663783,False
0.40703517,0.020301506,1.0973669,0.26872522,False
0.40954775,0.020301506,1.0982186,0.27081504,False
0.4120603,0.020301506,1.0990621,0.27290782,False
0.41457286,0.020301506,1.0998974,0.27500317,False
0.4170854,0.020301506,1.1007247,0.27710143,False
0.41959798,0.020301506,1.1015441,0.27920207,False
0.42211056,0.020301506,1.1023557,0.28130543,False
0.4246231,0.020301506,1.1031597,0.28341126,False
0.42713568,0.020301506,1.1039557,0.28552008,False
0.42964825,0.020301506,1.1047444,0.2876314,False
0.4321608,0.020301506,1.1055259,0.28974986,False
0.43467337,0.020301506,1.1062995,0.29186296,False
0.4371859,0.020301506,1.1070662,0.29398197,False
0.4396985,0.020301506,1.1078256,0.29610738,False
0.44221106,0.020301506,1.1085776,0.29822794,False
0.4447236,0.020301506,1.1093229,0.30035505,False
0.44723618,0.020301506,1.1100612,0.30248475,False
0.44974872,0.020301506,1.1107925,0.30461723,False
0.4522613,0.020301506,1.1115172,0.30675226,False
0.45477387,0.020301506,1.112235,0.3088898,False
0.45728642,0.020301506,1.1129463,0.31102985,False
0.459799,0.020301506,1.1136509,0.3131728,False
0.46231157,0.020301506,1.114349,0.31531832,False
0.4648241,0.020301506,1.1150408,0.31746617,False
0.46733668,0.020301506,1.115726,0.3196166,False
0.46984923,0.020301506,1.1164051,0.32176977,False
0.4723618,0.020301506,1.1170778,0.32392564,False
0.47487438,0.020301506,1.1177444,0.32608375,False
0.47738692,0.020301506,1.118405,0.32824478,False
0.4798995,0.020301506,1.1190594,0.330408,False
0.48241204,0.020301506,1.119708,0.33257425,False
0.4849246,0.020301506,1.1203505,0.33474267,False
0.4874372,0.020301506,1.1209872,0.3369139,False
0.48994973,0.020301506,1.1216182,0.33908764,False
0.4924623,0.020301506,1.1222433,0.34126374,False
0.49497488,0.020301506,1.1228628,0.34344283,False
0.49748743,0.020301506,1.1234766,0.34562406,False
0.5,0.020301506,1.2755008,0.11609311,True
0.0,0.020603014,0.0041213855,1.5053884e-06,False
0.0025125628,0.020603014,0.20241919,9.1744795e-07,False
0.0050251256,0.020603014,0.28079763,9.166297e-07,False
0.007537688,0.020603014,0.33775747,9.2380196e-07,False
0.010050251,0.020603014,0.3834483,9.346231e-07,False
0.012562814,0.020603014,0.42188326,9.4578184e-07,False
0.015075376,0.020603014,0.4551672,9.641517e-07,False
0.01758794,0.020603014,0.48455486,1.042518e-06,False
0.020100502,0.020603014,0.5108667,6.3396175e-05,False
0.022613065,0.020603014,0.5343292,0.0010951327,False
0.025125628,0.020603014,0.5557318,0.0021236008,False
0.027638191,0.020603014,0.5753955,0.0031600315,False
0.030150753,0.020603014,0.5935707,0.0042102397,False
0.032663316,0.020603014,0.6104561,0.0052788435,False
0.03517588,0.020603014,0.62621295,0.0063680653,False
0.03768844,0.020603014,0.6409735,0.0074787242,False
0.040201005,0.020603014,0.6548484,0.008610931,False
0.042713568,0.020603014,0.66793054,0.009765722,False
0.04522613,0.020603014,0.680299,0.010942083,False
0.047738694,0.020603014,0.69202155,0.012139946,False
0.050251257,0.020603014,0.70315677,0.013358741,False
0.05276382,0.020603014,0.7137562,0.014598191,False
0.055276383,0.020603014,0.7238639,0.015856309,False
0.057788946,0.020603014,0.7335198,0.017137336,False
0.060301505,0.020603014,0.7427589,0.018430864,False
0.06281407,0.020603014,0.7516122,0.019745545,False
0.06532663,0.020603014,0.7601074,0.021077538,False
0.0678392,0.020603014,0.7682695,0.022426035,False
0.07035176,0.020603014,0.7761211,0.023791146,False
0.072864324,0.020603014,0.78368217,0.025171774,False
0.07537688,0.020603014,0.7909714,0.026567796,False
0.07788945,0.020603014,0.79800576,0.027978163,False
0.08040201,0.020603014,0.80480003,0.029402975,False
0.08291457,0.020603014,0.81136864,0.030841623,False
0.085427135,0.020603014,0.81772417,0.03229359,False
0.087939695,0.020603014,0.8238787,0.03375929,False
0.09045226,0.020603014,0.8298427,0.035235923,False
0.09296482,0.020603014,0.8356265,0.036725603,False
0.09547739,0.020603014,0.8412397,0.03823342,False
0.09798995,0.020603014,0.84668946,0.039740026,False
0.10050251,0.020603014,0.8519853,0.04126427,False
0.10301507,0.020603014,0.85713404,0.04279938,False
0.10552764,0.020603014,0.86214316,0.04434885,False
0.1080402,0.020603014,0.8670178,0.04590083,False
0.110552765,0.020603014,0.8717652,0.047466706,False
0.113065325,0.020603014,0.8763905,0.049042247,False
0.11557789,0.020603014,0.88089937,0.050627574,False
0.11809045,0.020603014,0.8852963,0.052222226,False
0.12060301,0.020603014,0.8895862,0.05382563,False
0.12311558,0.020603014,0.8937734,0.055438016,False
0.12562814,0.020603014,0.8978622,0.057059146,False
